"SourceFile","SourceLine","SourceMethod","Disposition","VerificationClass","VerificationMethod","ReportScenario","Notes"
"FDA\Test_FDA.vb","108","Test_Tarfuna","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"FDA\Test_FDA.vb","119","Test_Glendive","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"FDA\Test_FDA.vb","58","Test_North_DeSoto","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"FDA\Test_FDA.vb","70","Test_Muncie","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"FDA\Test_FDA.vb","82","Test_DesPeres","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"FDA\Test_FDA.vb","94","Test_LondonOrleans","BlockedExternalData","","","","Standalone legacy FDA importer workflow requires external datasets; not an engine oracle."
"Test_1_Component_2_PFM_JointFailures.vb","12","Test_1_Component_2_PFM_JointFailures_Independent_Maximum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","15","Test_1_Component_2_PFM_JointFailures_Independent_Minimum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","18","Test_1_Component_2_PFM_JointFailures_Positive_Additive","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","21","Test_1_Component_2_PFM_JointFailures_Positive_Average","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","24","Test_1_Component_2_PFM_JointFailures_Positive_Maximum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","27","Test_1_Component_2_PFM_JointFailures_Positive_Minimum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","30","Test_1_Component_2_PFM_JointFailures_Negative_Additive","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","33","Test_1_Component_2_PFM_JointFailures_Negative_Average","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","36","Test_1_Component_2_PFM_JointFailures_Negative_Maximum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","39","Test_1_Component_2_PFM_JointFailures_Negative_Minimum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","42","Test_1_Component_2_PFM_JointFailures_Correlation_Additive","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","45","Test_1_Component_2_PFM_JointFailures_Correlation_Average","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","48","Test_1_Component_2_PFM_JointFailures_Correlation_Maximum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","51","Test_1_Component_2_PFM_JointFailures_Correlation_Minimum","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
"Test_1_Component_2_PFM_JointFailures.vb","6","Test_1_Component_2_PFM_JointFailures_Independent_Additive","NonOraclePlaceholder","","","","Empty placeholder method in the legacy source."
